"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000180448",1099.65036703272,4.86701703596836,0.248954855018474,19.5497976354275,4.14160441726354e-85,1.75260274125341e-80
"ENSG00000104903",462.477012169826,5.97831206995694,0.316785377834003,18.871805608053,1.94536592547286e-79,4.11610249341174e-75
"ENSG00000071051",2244.86035501816,4.44497101876688,0.249744468375732,17.7980759601033,7.31387796880896e-71,1.03167124668696e-66
"ENSG00000011304",256.946323886943,3.5604209408832,0.212344288702882,16.7672083983621,4.23964612043857e-63,4.48522762196497e-59
"ENSG00000078369",1012.51020669354,2.90039099543894,0.190795022102246,15.2016072719373,3.45049948728304e-52,2.92029573606713e-48
"ENSG00000156381",453.835378588156,5.64893914650554,0.371893901570292,15.1896525397522,4.14108874847629e-52,2.92064087615452e-48
"ENSG00000184007",3541.75816285283,2.50387747180339,0.165767957560453,15.1047132911091,1.50760716889764e-51,9.11391608089162e-48
"ENSG00000117691",444.469334544576,5.05934021900565,0.335684484764327,15.0717130181267,2.48583157462927e-51,1.31491168429484e-47
"ENSG00000261455",186.295141879773,4.4281266429377,0.300450713921826,14.738279650385,3.65989565211218e-49,1.7208422701159e-45
"ENSG00000179632",421.623819021555,4.10723372714213,0.291780536596288,14.0764486043323,5.30074543403111e-45,2.24311644531894e-41
"ENSG00000182287",2147.05392286119,3.06767156359256,0.223591497054676,13.7199831120698,7.70833571830353e-43,2.96539675083137e-39
"ENSG00000070182",223.867514410421,3.81094448904667,0.281461501938031,13.5398427948619,9.09834178397274e-42,3.20845441060312e-38
"ENSG00000185340",1338.86861864355,5.20705147667971,0.385784252344362,13.4973147427276,1.62180265692584e-41,5.27921715639468e-38
"ENSG00000108840",296.164334867908,3.5097749237231,0.260266659654255,13.4853036051009,1.9087813769993e-41,5.61274538680305e-38
"ENSG00000131188",198.769256943339,7.01259174685252,0.520135230283501,13.48224718989,1.98953566656535e-41,5.61274538680305e-38
"ENSG00000166501",2967.00065433619,2.57615382316337,0.191250834749832,13.4700265571815,2.34781547269883e-41,6.20953170988728e-38
"ENSG00000205309",781.583443087951,3.71616493276737,0.277856350770297,13.3744106350821,8.53273442557166e-41,2.12399836874656e-37
"ENSG00000132819",634.416688833974,4.45520242663902,0.335291415168752,13.2875529318182,2.73373115006036e-40,6.42685005983913e-37
"ENSG00000165280",395.822162409498,2.1583143390475,0.162492944223082,13.2825111229717,2.92420695255789e-40,6.51282450586276e-37
"ENSG00000090238",211.292381458529,2.85059161920475,0.215386712209405,13.234760816783,5.52724136219889e-40,1.16948136362085e-36
"ENSG00000106868",761.362523456775,3.16283243688004,0.239193224340071,13.2229181892849,6.47040253805389e-40,1.30384773429917e-36
"ENSG00000184574",273.362281463162,3.17069102980843,0.241881806398462,13.1084312500346,2.94629777182986e-39,5.66720376411473e-36
"ENSG00000119242",1554.02285200733,3.97772685960905,0.3062509460139,12.9884557464469,1.4226873657891e-38,2.61755918513467e-35
"ENSG00000128245",4865.75087347125,3.39391978172148,0.263042830647855,12.9025367213488,4.35520670134682e-38,7.67913674920388e-35
"ENSG00000129968",382.124431408472,6.0213958250344,0.467413673925624,12.8823698597926,5.65713936169048e-38,9.57572665474625e-35
"ENSG00000180354",5025.17636340278,3.30228983270074,0.256842244825992,12.8572690015928,7.82942726270981e-38,1.27429951336958e-34
"ENSG00000122257",533.150796149099,2.12656679369805,0.165575254102505,12.8435061460424,9.35401628718907e-38,1.46605150824067e-34
"ENSG00000110047",808.352259311385,3.01117380516182,0.235534521023657,12.7844266397764,2.00334755185982e-37,3.02770208400186e-34
"ENSG00000115756",377.421943583077,4.07248320347216,0.31990646003131,12.7302312153171,4.01648012708374e-37,5.86087550130353e-34
"ENSG00000100266",590.01730401094,3.15899517468656,0.248724645653845,12.7007726410956,5.85487953541868e-37,8.25869791001041e-34
"ENSG00000146535",403.366766194184,3.34122367084136,0.26331637678886,12.6890082249632,6.80419233309814e-37,9.28816151482949e-34
"ENSG00000186591",872.474271204346,2.64822450135137,0.209224803674118,12.6573162208634,1.01924510880566e-36,1.34785610216654e-33
"ENSG00000163932",752.276516278191,2.92533353065564,0.231562577590292,12.6330150626993,1.38854007707193e-36,1.78057122549857e-33
"ENSG00000124535",585.25874421019,3.55725474843123,0.281666093154762,12.6293325142146,1.45507260556796e-36,1.81100904264175e-33
"ENSG00000181788",800.070072435256,3.5246662817852,0.27943989524216,12.6133252330729,1.78307925237016e-36,2.15584470635852e-33
"ENSG00000166848",397.501919568498,2.11477473023769,0.167880912938432,12.5968741366879,2.19679323675524e-36,2.58226942777142e-33
"ENSG00000186480",803.522043800114,3.19229996684617,0.253713058732163,12.5823242319434,2.64142279960227e-36,3.02100239488566e-33
"ENSG00000005249",15895.4880041014,3.3024913080157,0.268124365207279,12.3170130601993,7.33614668058334e-35,8.16957155479593e-32
"ENSG00000176903",1047.03058998455,3.75823447718524,0.305559162756676,12.2995312700801,9.11012587361019e-35,9.88495375880929e-32
"ENSG00000022840",645.536540513873,2.69132405935649,0.218868705275398,12.2965229586845,9.4557621593245e-35,1.00034871824034e-31
"ENSG00000162434",813.638470602139,2.19508382620714,0.178914042121245,12.268929817815,1.32999592056245e-34,1.37271798464491e-31
"ENSG00000107816",71.2581739060208,4.45490251011824,0.364250496299862,12.2303265345473,2.14076332435977e-34,2.15692099040315e-31
"ENSG00000136156",12047.1322534953,2.74231504503918,0.22565537381527,12.1526689068976,5.55229926573192e-34,5.4641080936739e-31
"ENSG00000108100",944.178501253419,2.79071609073729,0.230164721896449,12.1248646088901,7.79889819005606e-34,7.50059033428641e-31
"ENSG00000143499",203.576534676385,3.21545532054261,0.267290500860386,12.0298151643711,2.47714709831633e-33,2.27881377737939e-30
"ENSG00000162722",4530.60187807604,2.92216262286452,0.244162555495081,11.9681030407768,5.22086361609924e-33,4.70066565196748e-30
"ENSG00000104341",178.892006089273,2.6764777664166,0.22416314041538,11.9398655883256,7.33416168418894e-33,6.46582749978798e-30
"ENSG00000099624",53.7061672792976,4.18510186559949,0.351051387374431,11.9216217799352,9.13135131963484e-33,7.88594681210179e-30
"ENSG00000101412",99.1621148628354,4.19146354471269,0.351900217769141,11.9109433102495,1.03796304983959e-32,8.78469647601241e-30
"ENSG00000184602",5856.70855858478,3.59612498528366,0.30243258945139,11.8906662532864,1.32346602247092e-32,1.09813944456671e-29
"ENSG00000082781",2169.04629481677,3.60483357784696,0.304230069365813,11.8490377540967,2.17675921523079e-32,1.77142153290234e-29
"ENSG00000160999",58.5391546393909,5.07422611490771,0.42878188097255,11.8340497583492,2.60274446489311e-32,2.07811957586569e-29
"ENSG00000034152",734.356040931119,3.08695014612663,0.261126077183609,11.8216846797574,3.01575417831323e-32,2.3632901771052e-29
"ENSG00000137198",1434.64199682978,3.72463542836614,0.315487320649325,11.805975025241,3.63552121229578e-32,2.79717002074037e-29
"ENSG00000105063",422.546255641006,4.56918285553809,0.387187903138831,11.8009442405016,3.85956103474326e-32,2.91651864834341e-29
"ENSG00000108960",12849.3514481161,3.16531479787938,0.269717740918598,11.7356566427519,8.36743943880769e-32,5.90141557886709e-29
"ENSG00000177731",440.095218700298,2.86490288055115,0.244336089684852,11.7252546860611,9.46160388376011e-32,6.56371625490289e-29
"ENSG00000249992",781.499208339001,5.19200724224127,0.443024914113045,11.7194475453732,1.01330634272553e-31,6.91614266211553e-29
"ENSG00000140859",323.435361888999,3.47645354246642,0.297215879223578,11.6967288273696,1.32461843469927e-31,8.89744100018558e-29
"ENSG00000123739",1303.09980127548,2.67779367581763,0.229102387821647,11.688196274507,1.46464141154715e-31,9.68425478319385e-29
"ENSG00000196924",10583.6759910298,4.32380985813922,0.370971322117183,11.6553749585349,2.15430030071189e-31,1.40251578192654e-28
"ENSG00000112977",1184.44353456062,4.02163214434104,0.346196873411615,11.6166044618186,3.39357365500433e-31,2.17584630846694e-28
"ENSG00000175166",362.639260706326,2.30369971188937,0.19912335447415,11.5692090361426,5.90242873704389e-31,3.61989966471719e-28
"ENSG00000185963",1205.61342104974,3.0255831805649,0.262774944170556,11.5139713571821,1.12190277946563e-30,6.78222284552101e-28
"ENSG00000088826",2896.95561771707,2.69338360911867,0.234526597032722,11.4843418324229,1.58135139388857e-30,9.42507703312433e-28
"ENSG00000161013",818.835940617809,4.97119575777672,0.433416353083959,11.4697927810161,1.87106791268693e-30,1.0996941786274e-27
"ENSG00000162909",1334.26859704321,2.6097574071082,0.227612312915865,11.4658006575983,1.95939003188341e-30,1.13582887642754e-27
"ENSG00000196182",1023.99520665718,2.98369897583064,0.260925110218604,11.435077955245,2.79285762376218e-30,1.59709940628032e-27
"ENSG00000148426",206.734217980288,3.4607546351562,0.302761620661601,11.4306252806868,2.93984187822573e-30,1.65873718347838e-27
"ENSG00000023902",1544.6336043531,2.76741741856624,0.242590887026549,11.4077550582655,3.8247320117079e-30,2.11971543360814e-27
"ENSG00000140564",504.230787241193,3.83870829415076,0.337091365208619,11.3877384304254,4.81320410969208e-30,2.61128664499795e-27
"ENSG00000176170",223.330777221978,3.86575583437791,0.340241240757243,11.3618085384777,6.47892948554073e-30,3.47049188657756e-27
"ENSG00000118900",178.775213630323,2.16995074592957,0.191834448370835,11.3115801898877,1.14999527518101e-29,6.00794445183144e-27
"ENSG00000006638",363.980016576761,3.32405311854477,0.29449558497459,11.287276577785,1.51663366663824e-29,7.82675449647934e-27
"ENSG00000187800",824.282745706519,3.13968699305676,0.280782555091612,11.1819161700853,4.99986080669534e-29,2.46022220647589e-26
"ENSG00000260032",5153.35965673066,2.73751794602099,0.244965888037687,11.175098573724,5.39903976589142e-29,2.62610535371526e-26
"ENSG00000257704",26.3899931292192,4.6306966069996,0.415649639282937,11.1408652127987,7.93447337574702e-29,3.81548988456235e-26
"ENSG00000185989",1318.76508726624,3.11866000969464,0.280551558429817,11.1161742502842,1.04664520033605e-28,4.97650392613717e-26
"ENSG00000175470",242.993148136447,2.67125243218768,0.240521437864804,11.1060887374588,1.17180466984239e-28,5.44914925425498e-26
"ENSG00000186716",389.961355870623,3.03372944961473,0.273459858177999,11.0938748737302,1.343397498011e-28,6.17919042644908e-26
"ENSG00000103187",2448.25833477836,3.10395437303345,0.27981472233166,11.0928915647061,1.35825030254167e-28,6.18033097340385e-26
"ENSG00000153162",1109.85132299126,3.17933933955846,0.286983947614264,11.0784570565313,1.59599169544972e-28,7.12210635216109e-26
"ENSG00000175582",1466.53339044182,2.89565186662279,0.261380645616953,11.0782948744655,1.59888485349931e-28,7.12210635216109e-26
"ENSG00000160445",208.437180113059,3.2552856399071,0.29529951353252,11.0236742382869,2.93815849548549e-28,1.26871482707612e-25
"ENSG00000181104",1874.90006321188,2.91237887657287,0.265118161793142,10.9852107334889,4.50186720489762e-28,1.90505514509653e-25
"ENSG00000198055",284.417345388692,3.44255818137967,0.31365045245758,10.9757794207081,4.9973009345235e-28,2.0937701351112e-25
"ENSG00000136238",1400.64177732377,2.46099935429553,0.22502025957103,10.9367901316401,7.68735962133113e-28,3.18927448133205e-25
"ENSG00000237854",124.739168330147,3.79271626810849,0.348792015252493,10.8738620789897,1.5355988394574e-27,6.24826308551141e-25
"ENSG00000157837",615.518949583446,2.38732338430814,0.220720507370156,10.8160470123626,2.88973915791799e-27,1.15363294288317e-24
"ENSG00000133627",224.518751864044,2.90320502045662,0.269616493576989,10.7679058574642,4.87973921179876e-27,1.911999298386e-24
"ENSG00000165716",114.727591289233,5.17750469309376,0.481372856686889,10.7557055225935,5.57060853190527e-27,2.16267377288656e-24
"ENSG00000135932",488.568675868897,2.27277393986953,0.211426837415254,10.7496946350556,5.94581318894483e-27,2.28735433378708e-24
"ENSG00000092929",755.69366848906,3.39196188988114,0.315905960012826,10.737251964931,6.80395261975935e-27,2.59389966675997e-24
"ENSG00000269556",255.75883958042,3.17130430299407,0.295412225039091,10.7351830228909,6.95809564160527e-27,2.62897976130188e-24
"ENSG00000263465",1010.92767192922,2.23723849175484,0.209419940025426,10.68302517651,1.22222566462364e-26,4.53692310963847e-24
"ENSG00000157978",1509.03556145795,2.87542867781921,0.269548795732875,10.6675626949147,1.44363481899634e-26,5.31219953351897e-24
"ENSG00000099804",33.558209779975,3.93703363240679,0.369978252238552,10.6412569079014,1.91528043676793e-26,6.92725831134262e-24
"ENSG00000060558",158.993428518018,3.58204796766662,0.336781873560023,10.6361067767746,2.02411092797135e-26,7.25883916431895e-24
"ENSG00000162368",4433.62939070187,3.03341790346065,0.285416135315298,10.6280533162908,2.20670447782707e-26,7.84715238556369e-24
"ENSG00000114353",1240.07028782284,2.54389167901771,0.239528185271129,10.6204273043617,2.39462442897948e-26,8.44444349676039e-24
"ENSG00000013016",1679.18290487272,3.00550936857608,0.28309250149451,10.6167042670127,2.49204678977186e-26,8.71293774346253e-24
"ENSG00000140479",944.604304193504,3.54192660223422,0.333739964558092,10.6128332785201,2.59750793963606e-26,8.93648320988448e-24
"ENSG00000198858",1652.3864906515,2.89071755541594,0.272420658319695,10.6112274056088,2.64254593822746e-26,9.01811423128802e-24
"ENSG00000064961",362.547153361472,3.73957091709056,0.352843804994415,10.5983748734082,3.03203094005404e-26,1.02645162632214e-23
"ENSG00000152484",336.20651819528,2.34889567835022,0.221682959295038,10.5957430639677,3.11854400155151e-26,1.04736052788615e-23
"ENSG00000174574",349.73406905138,2.5098171634034,0.238150073156067,10.5388049230564,5.72214013679696e-26,1.89174847006904e-23
"ENSG00000102572",372.002435340657,2.72166408033147,0.258753928652815,10.5183488208339,7.11087905222209e-26,2.33264394459598e-23
"ENSG00000188986",41.2525267826479,3.82090957538325,0.363427791648306,10.5135316098247,7.48374644675874e-26,2.43607460298069e-23
"ENSG00000235162",1591.24536333948,3.24150919603509,0.309068141681035,10.488008173228,9.80740466367462e-26,3.09716375487104e-23
"ENSG00000158457",3763.84298188043,3.58992157180867,0.342972340248908,10.467087722594,1.22349250892075e-25,3.8069509191176e-23
"ENSG00000106665",278.345175517879,2.82016693776825,0.270301007204013,10.4334311105237,1.74471986927381e-25,5.35009497884491e-23
"ENSG00000198753",39.8630558697222,5.23683007366127,0.503101395331946,10.4090947118245,2.25354410226828e-25,6.81165898397764e-23
"ENSG00000068383",137.537257030013,3.27286692968751,0.314621867102131,10.4025411832709,2.41407845950702e-25,7.24514596957154e-23
"ENSG00000259330",1509.66850418341,3.10232303911828,0.298359507470513,10.3979359177112,2.53361834107775e-25,7.55036108023853e-23
"ENSG00000141873",216.808017814225,3.06165707885739,0.295404608267505,10.3642834037473,3.60449996921108e-25,1.02370218253091e-22
"ENSG00000280852",75.0781805179612,3.76186072198192,0.364661663987142,10.3160301547754,5.96382671574811e-25,1.68247503420208e-22
"ENSG00000164897",24.5289330324362,5.16690736975604,0.503188360154428,10.2683364300604,9.7877857241735e-25,2.70712240843039e-22
"ENSG00000066697",663.390356207661,2.90770143404122,0.283391291430216,10.2603768075111,1.06291162693327e-24,2.88659762360402e-22
"ENSG00000254614",1684.89048152936,3.46306249490501,0.338429375463745,10.2327479408654,1.41447748537758e-24,3.76455621061152e-22
"ENSG00000159840",2395.42134494915,3.50451029316827,0.344048075544525,10.1861063679013,2.28742949487046e-24,5.97513295891563e-22
"ENSG00000130958",149.804151033903,2.50043999320534,0.246932895421202,10.1259898521833,4.23669990404511e-24,1.06716922523498e-21
"ENSG00000115457",184.606419284164,5.95265929788803,0.588921103333541,10.1077364424428,5.10501044821243e-24,1.27075721845297e-21
"ENSG00000160789",1221.93712803242,2.6982643781051,0.267742083503719,10.0778493346849,6.92247001710132e-24,1.71308867668817e-21
"ENSG00000140941",3128.65086299123,2.43704824937129,0.242031017641644,10.0691567267615,7.56236785783791e-24,1.84980763375796e-21
"ENSG00000182208",217.350494604749,2.91036930436172,0.28918201576607,10.0641435002515,7.95769491560132e-24,1.91332827126989e-21
"ENSG00000103266",40.3366322778549,4.17882386044595,0.41659625925498,10.0308722596769,1.11526958569176e-23,2.60745099766398e-21
"ENSG00000086232",3786.46015959772,2.97129743547594,0.296276332531441,10.0288045625805,1.13887060084319e-23,2.64799929757588e-21
"ENSG00000175221",140.945544851327,2.95178085812479,0.29531358493837,9.99541168666794,1.5962257842791e-23,3.63158529641605e-21
"ENSG00000143162",522.290557973876,2.55064906788604,0.255198171135458,9.994778005412,1.6064677928355e-23,3.63534211708128e-21
"ENSG00000175573",78.4862802307509,2.93038122665651,0.294311742331889,9.95672548923304,2.35698141747602e-23,5.24949382333331e-21
